slug,competitor_ja,competitor_en,competitor_url,axis,us,competitor,note
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,API access,"REST + MCP (OpenAPI 3.1, MCP protocol 2025-06-18) で全機能を提供。/v1/* 公開、認証なしでも 50 req/月/IP。",API は法人向け契約で別途提供 (公開価格なし) — 2026-04 月時点で公開ページに API/MCP 仕様の記載なし。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,MCP support,公式 MCP サーバー (autonomath-mcp PyPI) + Smithery / DXT 配布。89 tools。,公開情報なし。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Pricing model,完全従量 ¥3/req 税別 (税込 ¥3.30)、最低料金/契約期間/Seat 課金なし。匿名 50 req/月/IP 無料。,COSMOS / 企業ファイル等は個別見積。一般的に年間契約 + 1 件閲覧課金で、公開価格表は無し (代理店経由)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,JP corporate count,"166,969 件 (gBizINFO ベースの corporate_entity)。+13,801 件の適格請求書発行事業者 (delta、PDL v1.0)。",「約 147 万社」(同社サイト 2026-04 時点) — 当社より大幅に広範。,大企業/上場企業の網羅性では同社が圧倒。
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Credit ratings / 評点,<strong>なし</strong> (取扱対象外)。,コア商品。「帝国データバンク評点」は同社の代表的なスコアリングサービス。,信用調査用途では同社が第一選択。
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Executive bio / 経営者情報,<strong>なし</strong>。,コア商品 (代表者経歴・親族関係等)。,人物 DD 用途では同社が第一選択。
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Subsidy / 制度 DB,"10,790 件 (tier S=114 / A=1,340 / B=3,292 / C=6,044)。99%+ に primary source URL + fetched_at。",<strong>対象外</strong>。同社は信用調査専業で公的制度 DB は提供せず。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Tax ruleset DB,35 件 (am_tax_rule)。,対象外。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Court decisions / 判例,"2,065 件 (court_decisions)。",対象外。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 国税庁 bulk PDL v1.0 で月次フル取込予定。",対象外 (信用調査の付随情報として扱う場合あり、API 単独提供は公開情報なし)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Primary source citations,99%+ の行に source_url + fetched_at。出典明記必須を社内規約化。,信用調査レポートは独自取材ベース (一次資料明記は商品仕様による)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Terms of use,プログラム配布: AGPL 相当のソース公開条項なし。データ再配布は出典表示で OK (e-Gov=CC-BY-4.0 / NTA=PDL v1.0 / proprietary 行は不可)。,個別契約 (商用利用は再配布禁止条項あり、要確認)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Free tier,匿名 50 req/月/IP (登録不要)。,なし (デモ閲覧は営業経由)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Sample contract length,なし — 利用規約のみ (ToS 同意で開始)。,個別契約 (年単位が一般的、公開情報なし)。,
tdb,帝国データバンク,Teikoku Databank,https://www.tdb.co.jp/,Support model,Self-service (ドキュメント + メール info@bookyou.net、48h 以内応答)。,Account manager 制 (直接担当者、訪問可)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,API access,REST + MCP (OpenAPI 3.1)。匿名 50 req/月/IP 無料。,tsr-van2 等の法人向け情報サービスを提供 — Web/専用回線。API/MCP の公開仕様は公開情報なし。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,MCP support,公式 MCP サーバー、89 tools。,公開情報なし。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Pricing model,¥3/req 完全従量 (税込 ¥3.30)。,個別見積 (代理店経由が中心、公開価格表は無し)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,JP corporate count,"166,969 件。",「約 100 万社以上」(同社公式 2026-04 時点) — 当社より広範。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Credit ratings / 評点,<strong>なし</strong> (取扱対象外)。,コア商品 (TSR 評点)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Executive bio / 経営者情報,<strong>なし</strong>。,コア商品。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Subsidy / 制度 DB,"10,790 件。",対象外 (信用調査専業)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Tax ruleset DB,35 件。,対象外。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Court decisions / 判例,"2,065 件。",対象外。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",対象外。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Primary source citations,99%+ の行に source_url + fetched_at。,独自取材ベース。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Terms of use,ToS 同意で開始 (再配布は出典表示制約に従う)。,個別契約 (再配布禁止条項あり、要確認)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Free tier,匿名 50 req/月/IP。,公開情報なし (デモは営業経由)。,
